CityName,ICAO
阿巴坎,UNAA
阿布扎比,OMAA
阿德莱德,YPAD
阿尔贝尔,DAAG
阿尔及尔,DAAG
阿克纠宾斯克,USCC
阿拉木图,UAAA
阿姆斯特丹,EHAM
阿什哈巴德,UTAA
阿斯塔纳,UACC
阿斯旺,HESN
阿特鲁,GATS
埃德蒙顿,CYEG
埃尔比勒,LBBG
埃里温,UDYZ
爱丁堡,EGPH
安克雷奇,PANC
奥克兰(美国),KOAK
奥克兰(新西兰),NZAA
奥什,UAFO
奥斯陆,ENGM
巴尔瑙尔,USRR
巴格达,ORBI
巴格拉姆,OAKB
巴库,UBBB
巴黎,LFPG
巴里,LIBD
巴林,OBBI
巴塞罗那,LEBL
巴色,VGZR
巴士拉,ORMM
巴塔,WIMG
芭堤雅,VTBS
柏林,EDDT
班加罗尔,VOBL
薄荷岛,VTBO
北九州,RJFR
贝尔格莱德,LYBE
比伦德,WADL
比什凯克,UCFS
彼得曼巴甫洛夫斯,URKG
槟城,WMKP
波利斯波,EPBP
波士顿,KBOS
波特兰,KPDX
伯明翰,EGBB
布达佩斯,LHBP
布加勒斯特,LROP
布拉茨克,UUBP
布拉戈维申斯克,UHBB
布拉格,LKPR
布雷西亚,LIPO
布里斯班,YBBN
布里斯托,SBSP
布鲁塞尔,EBBR
车里雅宾斯克,USCC
赤塔,UIBB
冲绳,ROAH
钏路,RJEB
茨城,RJAK
达尔文,YPDN
达卡,VGHS
达拉斯,KDFW
达曼,OEDF
达沃,RPMD
大阪,RJBB
大分,RJFO
大叻,VVTH
大邱,RKTN
带广,RJCB
丹戎槟榔,WADL
德黑兰,OIIE
德里,VIDP
的黎波里,HLLM
登巴萨,WIII
迪拜,OMDB
底特律,KDTW
第比利斯,UGGG
蒂华纳,MMTJ
东京,RJTT
都柏林,EIDW
杜塞尔多夫,EDDL
杜尚别,UTDD
多哈,OTBD
多伦多,CYYZ
鄂木斯克,UNOO
法兰克福,EDDF
费城,KPHL
费尔干纳,UAFM
福岛,RJSF
福冈,RJFF
釜山,RKPK
富国岛,VTSM
富山,RJTT
冈山,RJOK
高松,RJOT
哥本哈根,EKCH
哥打基纳巴卢,WBKK
格拉斯哥,EGPF
古晋,WBGR
关岛,PGUM
光州,RKJJ
广岛,RJOA
归仁,RKTU
哈巴罗夫斯克(伯力),UHHH
哈恩,VVDN
哈拉维,OLBA
海参崴(符拉迪沃斯托克),UHWW
海德拉巴,VOHY
海防,VVNB
函馆,RJCH
汉堡,EDDH
汉诺威尔,EDDV
汗班托塔,WARR
合艾,VTSP
河内,VVNB
赫尔加达,OEDF
赫尔辛基,EFHK
胡贾得,OEDR
胡志明市,VVTS
花卷,RJNE
华沙,EPWA
华盛顿,KIAD
黄金海岸,YBCG
火奴鲁鲁,PHNL
基督城,NZCH
基辅,UKBB
吉达,OEJN
吉大港,VGEG
吉隆坡,WMKK
济州,RKPC
加德满都,VNKT
加尔各答,VECC
甲米,VTSM
江原道,RKTN
金边,VDPP
金奈,VOMM
晋州,RKJB
静冈,RJNS
旧金山,KSFO
喀布尔,OAKB
喀山,UWKD
喀土穆,HSSS
卡尔加里,CYYC
卡拉干达,UTAK
卡拉奇,OPKC
卡利博,RPVK
卡萨布兰卡,GMMN
开罗,HECA
凯恩斯,YBCS
坎大哈,VIAR
考纳斯,EYKA
科布多,DIKO
科隆,EDDK
科伦坡,VCBI
科威特,OKBK
克拉克,RPLC
克拉斯诺达尔,URKK
克拉斯诺亚尔茨克,UNKL
克麦罗沃,USCC
拉合尔,OPLA
拉斯维加斯,KLAS
拉瓦格,VDSV
莱比锡,EDDP
兰卡威,WMKL
琅勃拉邦,VLLB
里加,EVRA
里斯本,LPPT
利雅得,OEJN
烈日,RJEC
卢森堡,ELLX
鹿儿岛,RJFK
路易港,TJSJ
伦敦,EGLL
罗安达,FNLU
罗马,LIRF
罗斯托夫,URRR
洛杉矶,KLAX
络斯卡沃斯,EPKO
马德里,LEMD
马累,VRMM
马六甲,WMKM
马尼拉,RPLL
马什哈德,OIMM
马斯科特,OOMS
马斯特里赫特,EHBK
马塔兰,MMMZ
麦地那,OERK
曼彻斯特,EGCC
曼德勒,VYMD
曼谷,VTBS
毛里求斯,FIMP
美娜多,VGME
蒙特利尔,CYUL
孟菲斯,KMEM
孟买,VABB
米兰,LIMC
米里,WBGJ
米子,RJOM
密斯比湾,MYNN
棉兰,WBKL
名古屋,RJGG
明斯克,UMMS
莫尔兹比港,AYPY
莫斯科,UUEE
墨尔本,YMML
墨西哥,MMMX
慕尼黑,EDDM
那沃伊,NVVV
南迪,NFFN
南纪,RJNG
南萨哈林斯克,UHSS
内比都,DNMM
内罗毕,HKJK
尼斯,LFMN
纽约,JFK
帕希姆,VEBS
皮尔姆,UUDD
匹兹堡,KPIT
平壤,ZKPY
珀斯,YPPH
普吉,VTSP
普林塞萨港,PRSX
奇姆肯特,UAII
乔巴山,ZMCD
芹苴,VVTS
青森,RJSA
清莱,VTCL
清迈,VTCC
清州,RKTN
日内瓦,LSGG
茹科夫斯基,UKFF
撒马尔罕,UTSS
萨比哈格克琴,UHSS
萨拉戈萨,LEZG
萨马拉,UWWS
塞班,PGSN
沙巴,WBKS
沙迦,OMSJ
圣彼得堡,ULLI
圣丹尼斯,FMEE
圣何塞,MROC
首尔,RKSI
梳邦,WMKP
顺化,VVTH
斯德哥尔摩,ESSA
斯里巴加湾,WBGS
泗水,WARR
松山,RJOM
苏比克湾,RPLB
苏拉塔尼,VRMM
苏腊巴亚,WARR
苏黎世,LSZH
苏梅岛,VTSM
素叻他尼,VTSS
宿务,RPVM
梭罗,VTSP
索契,URSS
塔林,EETN
塔什干,UTTT
特拉维夫,LLBG
图卢兹,LFBO
土库曼巴希,UTAV
土库曼纳巴特,UTAK
托姆斯克,USTR
瓦特里,FJDG
万象,VLVT
威尼斯,LIPZ
维多利亚港,VRMM
维拉港,RPVR
维也纳,LOWW
温哥华,CYVR
乌法,UWUU
乌兰巴托,ZMUB
乌兰乌德,UIUU
乌里扬诺夫斯克,UUBW
务安,VVDN
西哈努克,VDSR
西雅图,KSEA
悉尼,YSSY
下地岛,ROYN
下诺夫哥罗德,UWGG
仙台,RJSS
暹粒,VDSR
岘港,VVDN
香川,RJOT
襄阳,RKNY
小松,RJNK
辛辛那提,KCVG
新加坡,WSSS
新山,WMKK
新西伯利亚,UNNT
新泻,RJEC
熊本,RJFT
休斯顿,KIAH
旭川,RJEC
芽庄,VVNB
雅典,LGAV
雅加达,WIII
雅库茨克,UEEE
亚的斯亚贝巴,HAAB
亚特兰大,KATL
仰光,VYYY
叶卡捷琳堡,USSS
伊尔库茨克,UIII
伊斯兰堡,OPIS
伊斯坦布尔,LTFM
印第安纳波利斯,KIND
原州,RJEC
约翰内斯堡,FAOR
云屯,RPLC
札幌,RJCC
长崎,RJFU
长滩(菲律宾),RPVM
芝加哥,KORD
佐贺,RJFZ
